Author Id,Paper Id
1,"['9112005', '9212075', '9308121', '9412051', '9506118', '9601003', '9701113', '9707225', '9803152', '9912155', '9912156', '0005248', '0011065', '0104131', '0207203']"
2,"['9112014', '9111002', '9202060', '9203024', '9201050', '9204038', '9207062', '9212017', '9212117', '9301099', '9304115', '9308114', '9309041', '9311084', '9402133', '9410006', '9410005', '9411101', '9502108', '9503158', '9503159', '9504121', '9504122', '9508042', '9511162', '9511161', '9511203', '9512012', '9512153', '9601089', '9602140', '9603037', '9604052', '9604058', '9604127', '9605077', '9605082', '9606047', '9607027', '9608173', '9610107', '9611079', '9611134', '9612224', '9701177', '9702058', '9702086', '9703012', '9704186', '9708055', '9707207', '9707182', '9708109', '9710119', '9711089', '9710244', '9710243', '9710155', '9803061', '9803259', '9805151', '9806106', '9807006', '9807173', '9810159', '9811107', '9810123', '9807051', '9901002', '9903057', '9903001', '9903214', '9901115', '9905096', '9906168', '9906221', '9907202', '9909099', '9909121', '9909184', '9909203', '9910252', '0001002', '0002128', '0002056', '0002054', '0002099', '0003103', '0003286', '0004201', '0005137', '0005246', '0007109', '0007209', '0008050', '0009183', '0011167', '0011023', '0012011', '0101096', '0103155', '0102185', '0105096', '0106026', '0106177', '0106162', '0108191', '0108245', '0111096', '0112138', '0112098', '0202075', '0202175', '0204001', '0203229', '0204064', '0206151', '0206154', '0204231', '0209193', '0203060', '0203082', '0212037', '0212323', '0303211', '0304022']"
3,['9109003']
4,"['9108020', '9111056', '9202004', '9203042', '9209055', '9211030', '9302080', '9305083', '9309152', '9312017', '9405084', '9501022', '9505162', '9504047', '9507168', '9601029', '9603078', '0301038']"
5,"['9108020', '9209055', '9209070', '9305066', '9312034', '9309152', '9407111', '9501022', '9504047', '9505162', '9508156', '9510182', '9511053', '9803205', '9808060', '9907026', '9909072', '0003101']"
6,"['9112074', '9212079']"
7,"['9112074', '9204032', '9207059', '9704034', '9705123', '9707209', '9812145', '0211250']"
8,['9112073']
9,"['9112073', '9206110', '9303134']"
10,['9112075']
11,"['9112074', '9412170']"
12,"['9112074', '9109054', '9201068', '9201069', '9204032', '9207059', '9212079', '9212080', '9307105', '9407070', '9407097', '9411088', '9502023', '9704034', '9806202', '9803029']"
13,['9109046']
14,"['9112072', '9108006', '9205090', '9210028', '9505183', '9511164', '9606112', '9608079', '9611063', '9612131', '9612254', '9702203', '9702180', '9705220', '9706082', '9708012', '9709211', '9711143', '9710178', '9801060', '9802005', '9802116', '9805129', '9806021', '9806171', '9810128', '9812046', '9904191', '9909040', '9912123', '0001053', '0005183', '0007104', '0009181', '0012218', '0104036', '0103124', '0105311', '0106129', '0111135', '0111180', '0112188', '0202157', '0205297', '0212277', '0301133', '0302109', '0303063']"
15,"['9112073', '9206110', '9306096', '9402148', '9407009', '9408121', '9512046', '9607078', '9710016', '9804014', '0002169']"
16,['9111056']
17,"['9112065', '9205061', '9207070', '9212035', '9309075', '9604179', '9702109', '9707157', '9811088', '9811037', '9905094', '9906237', '0002220', '0009062', '0206105']"
18,['9111027']
19,"['9110034', '9204049', '9207067', '9211040', '9309140', '9501096', '9511222', '9510225', '9605200', '9612052', '9712023', '9907200']"
20,"['9110034', '9111048', '9204049', '9501024', '9505004', '9503086', '9510222', '9602049', '9612102', '9702014', '9704104', '9707217', '9802067', '9806194', '9812027', '9903219', '9907178', '9909110', '9911039', '0003101', '0012258', '0106005', '0106004', '0204189']"
21,"['9110038', '9109038', '9108011', '9201041', '9204046', '9206016', '9207053', '9209016', '9210050', '9210121', '9302038', '9304154', '9305185', '9307088', '9309027', '9311009', '9303057', '9402002', '9402032', '9408053', '9408083', '9411187', '9504027', '9504147', '9507027', '9508064', '9509108', '9511026', '9503057', '9510229', '9512203', '9602010', '9603113', '9604070', '9605150', '9608005', '9609176', '9611186', '9702061', '9702165', '9703157', '9705212', '9707042', '9707123', '9708002', '9709159', '9709220', '9711130', '9712150', '9802051', '9803194', '9805019', '9805170', '9812031', '9808141', '9809111', '9902105', '9904207', '9906109', '9907164', '9908060', '9909062', '9911116', '9912249', '0002211', '0003124', '0003278', '0005036', '0007158', '0007153', '0009038', '0009090', '0009191', '0010240', '0012251', '0101014', '0102112', '0105058', '0105168', '0106010', '0111281', '0111153', '0111129', '0202151', '0201159', '0203211', '0203265', '0204143', '0207105', '0208142', '0209122', '0303057']"
22,['9110043']
23,"['9110044', '9108026', '9206086', '9206087', '9207077', '9209118', '9302024', '9312036', '9312200', '9406109', '9409164', '9508112', '9601137', '9603137', '9604066', '9603141', '9609088', '9701032', '9703149', '9706009', '9706143', '9707142', '9708139', '9710010', '9710137', '9712015', '9801037', '9801180', '9806055', '9802139', '9802160', '9808109', '9810008', '9810097', '9812017', '9903033', '9901119', '9904036', '9904146', '9905089', '9905200', '9906216', '9908065', '9910113', '9911152', '9912191', '0001192', '0001122', '0003148', '0004097', '0005127', '0005197', '0006115', '0006232', '0007205', '0008160', '0009015', '0009202', '0010004', '0010205', '0011115', '0011182', '0101003', '0102032', '0102082', '0105160', '0105052', '0105068', '0105117', '0105300', '0108172', '0107134', '0109122', '0110064', '0103078', '0112152', '0201210', '0202098', '0202198', '0204065', '0204112', '0205187', '0205282', '0207009', '0209066', '0209242', '0210056', '0211023', '0212047', '0212306', '0302054', '0303011', '0303117', '0304131']"
24,"['9110045', '9212039']"
25,"['9110050', '9206047', '9208021', '9212124', '9212125', '9303043', '9402053', '9407089', '9409130', '9501109', '9504085', '9705187', '9707155', '9708145', '9709078', '0007046', '0109002', '0301241']"
