,Author Id,Paper Id,Authors,Year
0,1,9112005,Christof Schmidhuber,1991
1,2,9112014,H. Lu,1991
2,3,9109003,Jadwiga Bienkowska,1991
3,4,9108020,A. Strominger,1991
4,5,9108020,J. A. Harvey,1991
5,6,9112074,A. Gamba,1991
6,7,9112074,F. Fucito,1991
7,8,9112073,Sun-Kil Yang,1991
8,9,9112073,Taku Uchino,1991
9,10,9112075,V. Spiridonov,1991
10,11,9112074,O. Ragnisco,1991
11,12,9112074,M. Martellini,1991
12,13,9109046,Luis Miramontes,1991
13,14,9112072,Hirosi Ooguri,1991
14,15,9112073,Toshiya Kawai,1991
15,16,9111056,J. Harvey,1991
16,17,9112065,Jennie Traschen,1991
17,18,9111027,G. Ponzano,1991
18,19,9110034,M. Bershadsky,1991
19,20,9110034,D. Kutasov,1991
20,21,9110038,Ashoke Sen,1991
21,22,9110043,N. David Mermin,1991
22,23,9110044,Shin'ichi Nojiri,1991
23,24,9110045,Kazuhiro Kimura,1991
24,25,9110050,Luca Mezincescu,1991
25,26,9110050,Rafael I. Nepomechie,1991
26,27,9110057,Shun'ya Mizoguchi,1991
27,28,9110057,Tsukasa Tada,1991
28,29,9110058,Patrick Dorey,1991
29,2,9111002,H. Lu,1991
30,30,9111002,C. N. Pope,1991
31,31,9108004,Edward Witten,1991
32,32,9108002,A. Mikovic,1991
33,33,9111002,X. J. Wang,1991
34,34,9111002,K. W. Xu,1991
35,35,9111003,Zhu Yang,1991
36,36,9112010,Shimon Yankielowicz,1991
37,37,9111018,G. Aldazabal,1991
38,38,9111018,I. Allekotte,1991
39,39,9109019,G. Felder,1991
40,40,9111024,Ken-ji Hamada,1991
41,41,9110015,K. S. Stelle,1991
42,42,9110015,E. Sezgin,1991
43,43,9110015,L. J. Romans,1991
44,44,9109046,Andrea Pasquinucci,1991
45,45,9109046,Chiara Nappi,1991
46,46,9109051,C. P. Burgess,1991
47,47,9109048,C. Vafa,1991
48,48,9109045,M. Dine,1991
49,49,9109045,T. Banks,1991
50,21,9109038,Ashoke Sen,1991
51,50,9109038,S. F. Hassan,1991
52,51,9109019,A. LeClair,1991
53,52,9109048,A. A. Tseytlin,1991
54,53,9111018,A. Font,1991
55,54,9110038,Debashis Ghoshal,1991
56,55,9111018,C. Nunez,1991
