Author Id,Paper Id
1,"['9112005', '9212075', '9412051', '9506118', '9601003', '9701113', '9707225', '9803152', '9912155', '9912156', '0005248', '0011065', '0104131', '0207203']"
3,['9109003']
10,['9112075']
14,"['9112072', '9205090', '9210028', '9709211', '9909040']"
22,['9110043']
23,"['9110044', '9108026', '9206086', '9601137', '9603137', '9604066', '9609088', '0210056']"
24,"['9110045', '9212039']"
29,"['9110058', '9205040', '9212143', '9304149', '9810026', '0101174']"
31,"['9108004', '9204083', '9207094', '9206069', '9208027', '9210065', '9301042', '9306104', '9304026', '9306122', '9312104', '9403195', '9409111', '9410052', '9411102', '9506101', '9503124', '9505186', '9507121', '9510135', '9511030', '9512219', '9602070', '9603150', '9604030', '9609122', '9609159', '9610234', '9703166', '9706109', '9707093', '9712028', '9710065', '9802150', '9803131', '9805112', '9807109', '9810188', '9812012', '9903005', '9907041', '9909229', '9912086', '0006010', '0007175', '0012054', '0106109', '0108165', '0112258', '0212247', '0302194']"
32,"['9108002', '9202055', '9207006', '9211082', '9302067', '9307157', '9402095', '9407104', '0108099']"
35,"['9111003', '9202078', '9207014', '9211092']"
40,"['9111024', '9309094', '9311047', '9509025', '9602150', '9706187', '9912098', '0005063', '0012053', '0101100', '0105069', '0203250']"
56,"['9109007', '9210045', '9210046', '9407031', '9409168', '9411028', '9507094', '9510017', '9511157', '9606165', '9607050', '9611050', '9812104', '9901076', '9903165', '0011193', '0209105', '0304042']"
21,"['9108011', '9201041', '9204046', '9206016', '9207053', '9209016', '9210050', '9302038', '9303057', '9402002', '9402032', '9408083', '9411187', '9504027', '9504147', '9511026', '9503057', '9510229', '9512203', '9602010', '9603113', '9604070', '9605150', '9608005', '9609176', '9611186', '9702061', '9702165', '9705212', '9707042', '9707123', '9708002', '9709159', '9709220', '9711130', '9712150', '9802051', '9803194', '9805019', '9805170', '9812031', '9808141', '9809111', '9902105', '9904207', '9909062', '9911116', '0009038', '0009090', '0010240', '0203211', '0203265', '0204143', '0207105', '0209122', '0303057']"
67,['9111030']
52,['9112004']
85,"['9112045', '9312124', '9412242', '9508100', '9512189', '9607106', '9912281']"
86,"['9112055', '9610084']"
110,"['9110037', '9410082', '9503097', '9601083', '0107176', '0110195', '0205259', '0211048']"
112,"['9112048', '0002136', '0201220']"
116,['9110008']
117,['9111064']
131,"['9109006', '9206103', '9205022']"
149,"['9201029', '9306095', '9303106', '9406093', '9503029', '9506113', '9606093', '9611162', '9612004', '9705118', '9705056', '9709069', '9709202', '9807206', '9902007', '9901095', '9912053', '0109168', '0205315']"
152,"['9201037', '9212069', '9304059', '9404143', '9408120', '0109043', '0201078', '0209108']"
156,['9201039']
161,['9201031']
164,"['9201022', '9203049']"
165,"['9201023', '9204093', '9211051', '9309125']"
167,"['9202061', '9609233']"
179,"['9202057', '9210109', '9310095', '9411054', '9503077', '9705047', '9703073', '9806189', '9810211', '9902157', '9907064', '0007043', '0010264', '0103013', '0106011', '0112141', '0206013', '0304135']"
183,"['9201032', '9205024']"
188,['9202064']
190,"['9202066', '9203068', '9407119']"
191,"['9202067', '9210006', '9304062', '9306015', '9312184', '9402089', '9701152', '9810142']"
224,['9202072']
227,['9201064']
233,"['9201008', '9403035', '9610212', '0105080']"
234,"['9201009', '9503150', '9611195', '9709209', '0009057', '0010144', '0106209']"
235,"['9201006', '9211133', '9411017', '9509137']"
243,"['9201005', '9407167', '9702076', '9709160', '9901018', '9906220', '9908165', '0009139']"
245,['9201003']
246,"['9201016', '9205103', '9211032', '9212013', '9212141', '9312179', '9402033', '9912277', '0005210']"
248,['9201018']
259,"['9201004', '9208035', '9211025', '9306109', '9303122', '9303025', '9308128', '9308129', '9404162', '9412179', '9503099', '9506036', '9604120', '9604121', '9604123', '9607070', '9610134', '9610226', '9704109', '9706024', '9707242', '9709116', '9712056', '9801009', '9902099', '9908041', '9912121', '9910251', '0001084', '0001035', '0006003', '0008145', '0104247', '0105050', '0105230', '0109100', '0203248', '0201151', '0209059', '0210078']"
263,"['9202027', '9202010']"
264,"['9202028', '9306146']"
271,['9202031']
272,"['9202032', '9211087']"
278,"['9202035', '9301021', '9307052', '9312108', '9401167', '9403197', '9501033', '9508062', '9601007', '9601129', '9606192', '9710136', '9801047', '9805070', '9909220', '0101055', '0106062', '0106246']"
285,['9202041']
286,['9202042']
291,"['9202045', '9301060', '9602009', '9911107', '0001152', '0107104', '0109220']"
297,"['9202025', '9303124', '9310092', '9408027', '9409140', '9409139', '9508136', '9510021', '9503085', '9512068', '9709141', '0201083', '0201124']"
299,['9202037']
305,"['9206102', '9305115', '9411019', '9503007', '9508014', '9509084', '9512108', '9611103', '9612215', '9703135', '9709200', '9802089', '9803150', '9808127', '9811165', '9906052', '9908203', '0006001', '0006223', '0008046']"
308,['9206105']
322,"['9207001', '9302041', '9308155', '9906230', '0011248', '0011240']"
332,['9202074']
176,"['9202076', '9202022', '9703174', '9710191', '9801022', '9808191', '9808192', '9903166', '0002009', '0003056', '0006137', '0104050', '0201031', '0209079', '0303185']"
339,"['9202081', '9506165']"
42,"['9202086', '9212092', '9310126', '9410051', '9411055', '9512082', '9602099', '9612220', '9809204']"
352,['9202090']
356,['9203001']
360,['9202071']
366,"['9202005', '9210160', '9311122', '9312154']"
370,"['9202008', '9203031', '9302020', '9309124', '9311156', '9404101', '9507060', '9608019', '9705055', '9712130', '9811028', '9812135']"
378,"['9202013', '9208073', '9210097', '9303004']"
158,"['9202015', '9206084', '9605075', '9606153', '9705241', '0008227', '0010190']"
384,"['9202017', '9510218']"
387,['9202019']
388,['9202020']
389,"['9202021', '9503120', '9506011', '9912058', '0008140']"
392,"['9201077', '9205065']"
395,"['9204058', '9205104', '9210151', '9304060', '9305095', '9612096', '0012141', '0101147']"
401,"['9204062', '9203057', '9303029', '9303020', '9303023', '9307194', '9910093', '0106111', '0304081']"
316,['9204063']
410,['9203026']
411,['9203027']
44,['9203028']
416,"['9203032', '9212144', '9512003']"
238,"['9203033', '9205058', '9206067', '9209023', '9211061', '9301015', '9302083', '9303054', '9402082', '9404191', '9407099', '9410008', '9411198', '9505052', '9505145', '9505129', '9509050', '9510041', '9510173', '9512081', '9601109', '9602064', '9601177', '9604035', '9605091', '9609212', '9611111', '9603099', '9612164', '9702163', '9701125', '9709123', '9802133', '9908105', '0005072', '0008107', '0009226', '0011033', '0108140', '0201112', '0209116', '0304139']"
417,"['9203034', '9206030', '9212103', '9301090', '9305053', '9305169', '9403190', '9407098', '9506089', '9711058', '9803217', '9901120', '9905224', '0005194']"
424,"['9204055', '9204014', '9407129', '9706092']"
427,"['9204078', '9212099', '9304096', '9408137', '9409121', '9506106', '9510080']"
434,"['9204081', '9204097', '9204098']"
435,"['9204084', '9209008', '9212019', '9505074', '9702006', '9704041', '9709015', '9802173', '9807229', '9810075', '9907062', '0003042']"
306,"['9204066', '9205019', '9404133']"
445,['9204047']
449,['9204051']
450,"['9204053', '9201072', '9501131', '9603059', '9705173', '9801109']"
43,['9203018']
454,['9203020']
461,"['9203019', '9307053', '9309068', '9404058']"
468,"['9203017', '9206005', '9209103', '9210069', '9306133', '9311170', '9404093', '9509002', '9702129', '9801136', '9903071', '0206139']"
474,['9203072']
475,['9203073']
476,['9203074']
478,"['9203076', '9308147', '9402084']"
479,"['9203077', '9308146']"
302,"['9203010', '9609048', '9805031', '9903012']"
502,"['9203011', '9212067', '9403110']"
509,['9201076']
511,"['9204033', '9501060']"
516,"['9201053', '9205069', '9508053', '9607011', '9609211', '9705139', '9706142', '0002174', '0101200']"
517,"['9201054', '9212085', '9403040', '9404166', '9504108', '9510016', '9602061', '9712195', '9903124']"
519,"['9201057', '9310135', '9911080']"
