Paper Id,Authors,Year
9201001,C. Itzykson,1992
9201001,J.-B. Zuber,1992
9201002,F.Bonechi,1992
9201002,E.Celeghini,1992
9201002,R.Giachetti,1992
9201002,E.Sorace,1992
9201002,M.Tarlini,1992
9201003,Robbert Dijkgraaf,1992
9201004,Nathan Berkovits,1992
9201005,Igor R. Klebanov,1992
9201006,Denis Bernard,1992
9201007,Mirjam Cvetic,1992
9201007,Stephen Griffies,1992
9201007,Soo-Jong Rey,1992
9201008,Satoshi Matsuda,1992
9201009,Eva Silverstein,1992
9201010,A.Marshakov,1992
9201010,A.Mironov,1992
9201010,A.Morozov,1992
9201011,A.Marshakov,1992
9201011,A.Mironov,1992
9201011,A.Morozov,1992
9201012,A.Mironov,1992
9201012,A.Zabrodin,1992
9201013,S.Kharchev,1992
9201013,A.Marshakov,1992
9201013,A.Mironov,1992
9201013,A.Morozov,1992
9201013,A.Zabrodin,1992
9201014,P. Berglund,1992
9201014,"T. H\""ubsch",1992
9201015,S. Kar,1992
9201015,S. Khastgir,1992
9201015,A. Kumar,1992
9201016,Leonardo Castellani,1992
9201017,Nathan Seiberg,1992
9201017,Stephen Shenker,1992
9201018,Waichi Ogura,1992
9201019,J. A. Dixon,1992
9201019,M. J. Duff,1992
9201019,E. Sezgin,1992
9201020,A.S. Galperin,1992
9201020,K.S. Stelle,1992
9201021,J. Russo,1992
9201021,A.A. Tseytlin,1992
9201022,Hiroki Fukutaka,1992
9201023,C.N. Pope,1992
9201024,H. Aratyn,1992
9201024,L.A. Ferreira,1992
9201024,J.F. Gomes,1992
9201024,A.H. Zimerman,1992
9201025,M.Forger,1992
9201025,J.Laartz,1992
9201025,U.Schaeper,1992
9201026,Jean-Loup Gervais,1992
9201026,Yutaka Matsuo,1992
9201027,J. M. Isidro,1992
9201027,J. M. F. Labastida,1992
9201027,A. V. Ramallo,1992
9201028,Terry Gannon,1992
9201028,C.S. Lam,1992
9201029,Renata Kallosh,1992
9201030,L.A. Ferreira,1992
9201030,J.F. Gomes,1992
9201030,R.M. Ricotta,1992
9201030,A.H. Zimerman,1992
9201031,M.~Ruiz--Altaba,1992
9201032,Marcio J. Martins,1992
9201033,L. Chekhov,1992
9201033,Yu. Makeenko,1992
9201034,Katsumi Itoh,1992
9201034,Nobuyoshi Ohta,1992
9201035,O. Babelon,1992
9201035,M. Talon,1992
9201036,Mordechai Spiegelglas,1992
9201036,Shimon Yankielowicz,1992
9201037,Joshua Feinberg,1992
9201038,L. Feher,1992
9201038,L. O'Raifeartaigh,1992
9201038,P. Ruelle,1992
9201038,I. Tsutsui,1992
9201039,14p,1992
9201040,Taichiro Kugo,1992
9201040,Barton Zwiebach,1992
9201041,Ashoke Sen,1992
9201042,Alberto Carlini,1992
9201042,Maurizio Martellini,1992
9201043,Alberto Carlini,1992
9201043,Maurizio Martellini,1992
9201044,M.A.R. Osorio,1992
9201044,M.A. Vazquez-Mozo,1992
9201045,Ramzi R. Khuri,1992
9201045,HoSeong La,1992
9201046,Ramzi R. Khuri,1992
9201046,HoSeong La,1992
9201047,18 pages,1992
9201048,A.P.Balach,1992
9201048,ran,1992
9201048,G.Bimonte,1992
9201048,K.S.Gupta,1992
9201048,A.Stern,1992
9201049,Eric Smith,1992
9201050,H. Lu,1992
