Paper Id,Authors,Year
9201001, C. Itzykson and J.-B. Zuber,1992
9201002," F.Bonechi, E.Celeghini, R.Giachetti, E.Sorace and M.Tarlini",1992
9201003, Robbert Dijkgraaf,1992
9201004, Nathan Berkovits,1992
9201005, Igor R. Klebanov,1992
9201006, Denis Bernard,1992
9201007," Mirjam Cvetic, Stephen Griffies, Soo-Jong Rey",1992
9201008, Satoshi Matsuda,1992
9201009, Eva Silverstein,1992
9201010," A.Marshakov, A.Mironov and A.Morozov",1992
9201011," A.Marshakov, A.Mironov and A.Morozov",1992
9201012, A.Mironov and A.Zabrodin,1992
9201013," S.Kharchev, A.Marshakov, A.Mironov, A.Morozov and A.Zabrodin",1992
9201014," P. Berglund and T. H\""ubsch",1992
9201015," S. Kar, S. Khastgir and A. Kumar",1992
9201016, Leonardo Castellani,1992
9201017, Nathan Seiberg and Stephen Shenker,1992
9201018, Waichi Ogura,1992
9201019," J. A. Dixon, M. J. Duff, and E. Sezgin",1992
9201020, A.S. Galperin and K.S. Stelle,1992
9201021, J. Russo and A.A. Tseytlin,1992
9201022, Hiroki Fukutaka,1992
9201023, C.N. Pope,1992
9201024," H. Aratyn, L.A. Ferreira, J.F. Gomes, A.H. Zimerman",1992
9201025," M.Forger, J.Laartz, U.Schaeper",1992
9201026," Jean-Loup Gervais, and Yutaka Matsuo",1992
9201027," J. M. Isidro, J. M. F. Labastida and A. V. Ramallo",1992
9201028, Terry Gannon (Carleton University) and C.S. Lam (McGill University),1992
9201029, Renata Kallosh,1992
9201030," L.A. Ferreira, J.F. Gomes, R.M. Ricotta and A.H. Zimerman",1992
9201031, M.~Ruiz--Altaba,1992
9201032, Marcio J. Martins,1992
9201033, L. Chekhov and Yu. Makeenko,1992
9201034, Katsumi Itoh and Nobuyoshi Ohta,1992
9201035, O. Babelon and M. Talon,1992
9201036, Mordechai Spiegelglas and Shimon Yankielowicz,1992
9201037, Joshua Feinberg,1992
9201038," L. Feher, L. O'Raifeartaigh, P. Ruelle and I. Tsutsui",1992
9201039, 14p,1992
9201040, Taichiro Kugo and Barton Zwiebach,1992
9201041, Ashoke Sen,1992
9201042, Alberto Carlini and Maurizio Martellini,1992
9201043, Alberto Carlini and Maurizio Martellini,1992
9201044, M.A.R. Osorio and M.A. Vazquez-Mozo,1992
9201045, Ramzi R. Khuri and HoSeong La,1992
9201046, Ramzi R. Khuri and HoSeong La,1992
9201047, 18 pages,1992
9201048," A.P.Balachandran, G.Bimonte, K.S.Gupta and A.Stern",1992
9201049, Eric Smith,1992
9201050," H. Lu, C.N. Pope, S. Schrans and K.W. Xu",1992
9201051," M. Bordemann, M. Forger, J. Laartz, U. Schaeper",1992
9201052, J. Maharana and S. mukherji,1992
9201053, S.P. de Alwis,1992
9201054, Michael B. Green,1992
9201055, C. Itzykson and J.-B. Zuber,1992
9201056, Edward Witten and Barton Zwiebach,1992
9201057, C. M. Hull,1992
9201058, R.Efraty and V.P.Nair,1992
9201059," Sidney Coleman, John Preskill, and Frank Wilczek",1992
9201060, J.M. Lina and P.K. Panigrahi,1992
9201061," T.Banks, A. Dabolkhar, M.R. Douglas, M. O' Loughlin (Rutgers U)",1992
9201062," G. Bimonte, P. Salomonson, A. Simoni, A. Stern",1992
9201063, Marc Kamionkowski and John March-Russell,1992
9201064, J.L.F. Barb\'on,1992
9201065," Yoichiro Matsumura, Norisuke Sakai, Yoshiaki Tanii",1992
9201066," Yoichiro Matsumura, Norisuke Sakai, Yoshiaki Tanii",1992
9201067," G. W. Delius, M.T. Grisaru and D. Zanon",1992
9201068," M. Martellini, M. Spreafico and K. Yoshida",1992
9201069," M. Martellini, M. Spreafico and K. Yoshida",1992
9201070," E.Nissimov, S.Pacheva and I.Vaysburd",1992
9201071," N. Chair, V.K. Dobrev and H. Kanno",1992
9201072, Shamit Kachru,1992
9201073, Alex Lyons,1992
9201074," J. Russo, L. Susskind and L. Thorlacius",1992
9201075, K.Amano and S.Higuchi,1992
9201076, Mark Doyle (Princeton University),1992
9201077, Vl.S.Dotsenko,1992
9201078," Philip C. Argyres, Keith R. Dienes, and S.-H. Henry Tye",1992
9201079, M. Bauer and N. Sochen,1992
9201080," P. Furlan, A. Ch. Ganchev, R. Paunov, V. B. Petkova",1992
9202001, N. Read and G. Moore,1992
9202002, Stephen-wei Chung and S.-H. Henry Tye,1992
9202003, Marc Kamionkowski and John March-Russell,1992
9202004, S.B. Giddings and A. Strominger,1992
9202005, David Gershon,1992
9202006, L. Chekhov and Yu. Makeenko,1992
9202007," Philip C. Argyres, James M. Grochocinski, and S.-H. Henry Tye",1992
9202008, Petr Horava,1992
9202009," Y. Imamura, M. Sakamoto, T. Sasada and M. Tabuse",1992
9202010, G. Nagao,1992
9202011, P. Fendley and K. Intriligator,1992
9202012," Satoshi Iso, Dimitra Karabali and B. Sakita",1992
9202013, V.Spiridonov,1992
9202014, C.F.E. Holzhey and F. Wilczek,1992
9202015, Barton Zwiebach,1992
9202016, Noah Linden and Malcolm Perry,1992
9202017, Sheldon Katz,1992
9202018," Bernd Bruegmann, Rodolfo Gambini, Jorge Pullin",1992
9202019, Shahar Ben-Menahem (SLAC),1992
9202020, F.Ravanini,1992
9202021, Erik Verlinde,1992
9202022, Lee Smolin,1992
9202023, Richard H. Price and Jorge Pullin,1992
9202024, Christopher Ting and C. H. Lai,1992
9202025, J.W. van Holten,1992
9202026, G. Ferretti and S.G. Rajeev,1992
9202027, G. Nagao,1992
9202028, Changrim Ahn,1992
9202029," Alexander Balatsky (Los Alamos National Laboratory,Theoretical  Division and Landau Institute for Theoretical Physics, Moscow, USSR)\\  In this paper we present a theory of Singlet Quantum Hall Effect (SQHE). Weshow that the Halperin-Haldane SQHE wave function can be written in the form ofa product of a wave function for charged semions in a magnetic field and a wavefunction for the Chiral Spin Liquid of neutral spin-$\12$ semions. We introducefield-theoretic model in which the electron operators are factorized in termsof charged spinless semions (holons) and neutral spin-$\12$ semions (spinons).Broken time reversal symmetry and short ranged spin correlations lead to$SU(2)_{k=1}$ Chern-Simons term in Landau-Ginzburg action for SQHE phase. Weconstruct appropriate coherent states for SQHE phase and show the existence of$SU(2)$ valued gauge potential. This potential appears as a result of ``spinrigidity"" of the ground state against any displacements of nodes of wavefunction from positions of the particles and reflects the nontrivial monodromyin the presence of these displacements.\\",1992
9202030," L.F. Cugliandolo, G.L. Rossini and F.A. Schaposnik",1992
9202031, S. Mignemi & D.L. Wiltshire,1992
9202032, Hidetoshi Awata,1992
9202033, G. Papadopoulos and B. Spence,1992
9202034, Timothy R. Klassen and Ezer Melzer,1992
9202035, Adel Bilal,1992
9202036, P.S. Howe and G. Papadopoulos,1992
9202037, Dieter R. Brill,1992
9202038," L. F. Cugliandolo, F. A. Schaposnik, H. Vucetich",1992
9202039, Maximilian Kreuzer and Harald Skarke,1992
9202040, Jose M. Figueroa-O'Farrill and Eduardo Ramos,1992
9202041, Michael Lassig,1992
9202042, Marcio J.Martins,1992
9202043," H.O. Girotti, M. Gomes and V.O. Rivelles",1992
9202045, Amitabha Lahiri,1992
9202046, Luis E. Ibanez and Dieter Luest,1992
9202047, Daniel Altschuler and Antoine Coste,1992
9202048, Alexander Moroz,1992
9202049," I.Ya.Aref'eva and A.P.Zubarev\\  String field theory for the non-critical NSR string is described. Inparticular it gives string field theory for the 2D super-gravity coupled to a$\hat{c}=1$ matter field. For this purpose double-step pictures changingoperators for the non-critical NSR string are constructed. Analogues of thecritical supersymmetry transformations are written for $D<10$, they form aclosed on-shell algebra, however their action on vertices is defined only fordiscrete value of the Liouville momentum. For D=2 this means that spinormassless field has its superpartner in the NS sector only if its momentum isfixed.  Starting from string field theory we calculate string amplitudes. Theseamplitudes for D=2 have poles which are related with discrete set of primaryfields, namely 2R$\to$2R amplitude has poles corresponding to the n-level NSexcitations with discrete momenta $p_1=n,~~p_2=-1\pm (n+1)$.\\",1992
9202050, J.D. Cohn and H. Dykstra,1992
9202051," P.~Berglund, B.R.~Greene and T.~H\""ubsch",1992
