,Paper Id,Authors,Year
0,9201001, C. Itzykson and J.-B. Zuber,1992
1,9201002," F.Bonechi, E.Celeghini, R.Giachetti, E.Sorace and M.Tarlini",1992
2,9201003, Robbert Dijkgraaf,1992
3,9201004, Nathan Berkovits,1992
4,9201005, Igor R. Klebanov,1992
5,9201006, Denis Bernard,1992
6,9201007," Mirjam Cvetic, Stephen Griffies, Soo-Jong Rey",1992
7,9201008, Satoshi Matsuda,1992
8,9201009, Eva Silverstein,1992
9,9201010," A.Marshakov, A.Mironov and A.Morozov",1992
10,9201011," A.Marshakov, A.Mironov and A.Morozov",1992
11,9201012, A.Mironov and A.Zabrodin,1992
12,9201013," S.Kharchev, A.Marshakov, A.Mironov, A.Morozov and A.Zabrodin",1992
13,9201014," P. Berglund and T. H\""ubsch",1992
14,9201015," S. Kar, S. Khastgir and A. Kumar",1992
15,9201016, Leonardo Castellani,1992
16,9201017, Nathan Seiberg and Stephen Shenker,1992
17,9201018, Waichi Ogura,1992
18,9201019," J. A. Dixon, M. J. Duff, and E. Sezgin",1992
19,9201020, A.S. Galperin and K.S. Stelle,1992
20,9201021, J. Russo and A.A. Tseytlin,1992
21,9201022, Hiroki Fukutaka,1992
22,9201023, C.N. Pope,1992
23,9201024," H. Aratyn, L.A. Ferreira, J.F. Gomes, A.H. Zimerman",1992
24,9201025," M.Forger, J.Laartz, U.Schaeper",1992
25,9201026," Jean-Loup Gervais, and Yutaka Matsuo",1992
26,9201027," J. M. Isidro, J. M. F. Labastida and A. V. Ramallo",1992
27,9201028, Terry Gannon (Carleton University) and C.S. Lam (McGill University),1992
28,9201029, Renata Kallosh,1992
29,9201030," L.A. Ferreira, J.F. Gomes, R.M. Ricotta and A.H. Zimerman",1992
30,9201031, M.~Ruiz--Altaba,1992
31,9201032, Marcio J. Martins,1992
32,9201033, L. Chekhov and Yu. Makeenko,1992
33,9201034, Katsumi Itoh and Nobuyoshi Ohta,1992
34,9201035, O. Babelon and M. Talon,1992
35,9201036, Mordechai Spiegelglas and Shimon Yankielowicz,1992
36,9201037, Joshua Feinberg,1992
37,9201038," L. Feher, L. O'Raifeartaigh, P. Ruelle and I. Tsutsui",1992
38,9201039, 14p,1992
39,9201040, Taichiro Kugo and Barton Zwiebach,1992
40,9201041, Ashoke Sen,1992
41,9201042, Alberto Carlini and Maurizio Martellini,1992
42,9201043, Alberto Carlini and Maurizio Martellini,1992
43,9201044, M.A.R. Osorio and M.A. Vazquez-Mozo,1992
44,9201045, Ramzi R. Khuri and HoSeong La,1992
45,9201046, Ramzi R. Khuri and HoSeong La,1992
46,9201047, 18 pages,1992
47,9201048," A.P.Balachandran, G.Bimonte, K.S.Gupta and A.Stern",1992
48,9201049, Eric Smith,1992
49,9201050," H. Lu, C.N. Pope, S. Schrans and K.W. Xu",1992
50,9201051," M. Bordemann, M. Forger, J. Laartz, U. Schaeper",1992
51,9201052, J. Maharana and S. mukherji,1992
52,9201053, S.P. de Alwis,1992
53,9201054, Michael B. Green,1992
54,9201055, C. Itzykson and J.-B. Zuber,1992
55,9201056, Edward Witten and Barton Zwiebach,1992
56,9201057, C. M. Hull,1992
57,9201058, R.Efraty and V.P.Nair,1992
58,9201059," Sidney Coleman, John Preskill, and Frank Wilczek",1992
59,9201060, J.M. Lina and P.K. Panigrahi,1992
60,9201061," T.Banks, A. Dabolkhar, M.R. Douglas, M. O' Loughlin (Rutgers U)",1992
61,9201062," G. Bimonte, P. Salomonson, A. Simoni, A. Stern",1992
62,9201063, Marc Kamionkowski and John March-Russell,1992
63,9201064, J.L.F. Barb\'on,1992
64,9201065," Yoichiro Matsumura, Norisuke Sakai, Yoshiaki Tanii",1992
65,9201066," Yoichiro Matsumura, Norisuke Sakai, Yoshiaki Tanii",1992
66,9201067," G. W. Delius, M.T. Grisaru and D. Zanon",1992
67,9201068," M. Martellini, M. Spreafico and K. Yoshida",1992
68,9201069," M. Martellini, M. Spreafico and K. Yoshida",1992
69,9201070," E.Nissimov, S.Pacheva and I.Vaysburd",1992
70,9201071," N. Chair, V.K. Dobrev and H. Kanno",1992
71,9201072, Shamit Kachru,1992
72,9201073, Alex Lyons,1992
73,9201074," J. Russo, L. Susskind and L. Thorlacius",1992
74,9201075, K.Amano and S.Higuchi,1992
75,9201076, Mark Doyle (Princeton University),1992
76,9201077, Vl.S.Dotsenko,1992
77,9201078," Philip C. Argyres, Keith R. Dienes, and S.-H. Henry Tye",1992
78,9201079, M. Bauer and N. Sochen,1992
79,9201080," P. Furlan, A. Ch. Ganchev, R. Paunov, V. B. Petkova",1992
80,9202001, N. Read and G. Moore,1992
81,9202002, Stephen-wei Chung and S.-H. Henry Tye,1992
82,9202003, Marc Kamionkowski and John March-Russell,1992
83,9202004, S.B. Giddings and A. Strominger,1992
84,9202005, David Gershon,1992
85,9202006, L. Chekhov and Yu. Makeenko,1992
86,9202007," Philip C. Argyres, James M. Grochocinski, and S.-H. Henry Tye",1992
87,9202008, Petr Horava,1992
88,9202009," Y. Imamura, M. Sakamoto, T. Sasada and M. Tabuse",1992
89,9202010, G. Nagao,1992
90,9202011, P. Fendley and K. Intriligator,1992
91,9202012," Satoshi Iso, Dimitra Karabali and B. Sakita",1992
92,9202013, V.Spiridonov,1992
93,9202014, C.F.E. Holzhey and F. Wilczek,1992
94,9202015, Barton Zwiebach,1992
95,9202016, Noah Linden and Malcolm Perry,1992
96,9202017, Sheldon Katz,1992
97,9202018," Bernd Bruegmann, Rodolfo Gambini, Jorge Pullin",1992
98,9202019, Shahar Ben-Menahem (SLAC),1992
99,9202020, F.Ravanini,1992
100,9202021, Erik Verlinde,1992
101,9202022, Lee Smolin,1992
102,9202023, Richard H. Price and Jorge Pullin,1992
103,9202024, Christopher Ting and C. H. Lai,1992
104,9202025, J.W. van Holten,1992
105,9202026, G. Ferretti and S.G. Rajeev,1992
106,9202027, G. Nagao,1992
107,9202028, Changrim Ahn,1992
108,9202029," Alexander Balatsky (Los Alamos National Laboratory,Theoretical  Division and Landau Institute for Theoretical Physics, Moscow, USSR)",1992
109,9202030," L.F. Cugliandolo, G.L. Rossini and F.A. Schaposnik",1992
110,9202031, S. Mignemi & D.L. Wiltshire,1992
111,9202032, Hidetoshi Awata,1992
112,9202033, G. Papadopoulos and B. Spence,1992
113,9202034, Timothy R. Klassen and Ezer Melzer,1992
114,9202035, Adel Bilal,1992
115,9202036, P.S. Howe and G. Papadopoulos,1992
116,9202037, Dieter R. Brill,1992
117,9202038," L. F. Cugliandolo, F. A. Schaposnik, H. Vucetich",1992
118,9202039, Maximilian Kreuzer and Harald Skarke,1992
119,9202040, Jose M. Figueroa-O'Farrill and Eduardo Ramos,1992
120,9202041, Michael Lassig,1992
121,9202042, Marcio J.Martins,1992
122,9202043," H.O. Girotti, M. Gomes and V.O. Rivelles",1992
123,9202045, Amitabha Lahiri,1992
124,9202046, Luis E. Ibanez and Dieter Luest,1992
125,9202047, Daniel Altschuler and Antoine Coste,1992
126,9202048, Alexander Moroz,1992
127,9202049, I.Ya.Aref'eva and A.P.Zubarev,1992
128,9202050, J.D. Cohn and H. Dykstra,1992
129,9202051," P.~Berglund, B.R.~Greene and T.~H\""ubsch",1992
130,9202052," A.P.Balachandran, W.D.McGlinn, L.O'Raifeartaigh, S.Sen, R.D.Sorkin,  A.M.Srivastava",1992
131,9202053, Abhay Ashtekar and C.J. Isham,1992
132,9202054," Abhay Ashtekar, Carlo Rovelli and Lee Smolin",1992
133,9202055, A. Mikovic,1992
134,9202056, D.B. Fairlie and J. Govaerts,1992
135,9202057, Alexios P. Polychronakos,1992
136,9202058, Katsushi Ito and Jens Ole Madsen,1992
137,9202059, Mary K. Gaillard and T.R. Taylor,1992
138,9202060," H. Lu, C.N. Pope, S. Schrans and X.J. Wang",1992
139,9202061, P. Bowcock,1992
140,9202062, Michael Wolf and Barton Zwiebach,1992
141,9202063, Abhay Ashtekar and Carlo Rovelli,1992
142,9202064, F. A. Schaposnik,1992
143,9202065, Jean Avan and Antal Jevicki,1992
144,9202066, V.G.J. Rodgers,1992
145,9202067, Mirjam Cvetic,1992
146,9202068," R.B. Mann, M.S. Morris and S.F. Ross",1992
147,9202069," G.W. Delius, M.T. Grisaru and D. Zanon",1992
148,9202070, H. G. Kausch and G. M. T. Watts,1992
149,9202071," Giorgio Immirzi (Universita' di Perugia & INFN Perugia, Italy)",1992
150,9202072, X. Shen,1992
151,9202073, Peter G. O. Freund and Anton V. Zabrodin,1992
152,9202074, D. Boulatov,1992
153,9202075, Mark Alford and Andrew Strominger,1992
154,9202076, Lee Smolin,1992
155,9202077, B. S. Balakrishna and Kameshwar C. Wali,1992
156,9202078, Zhu Yang,1992
157,9202079," Abhay Ashtekar, Carlo Rovelli and Lee Smolin",1992
158,9202080, Yukihisa Itoh and Yoshiaki Tanii,1992
159,9202081, Michiaki Takama,1992
160,9202082, Haye Hinrichsen and Vladimir Rittenberg,1992
161,9202083, Makoto Sakamoto and Masayoshi Tabuse,1992
162,9202084," Tsutomu Horiguchi, Makoto Sakamoto and Masayoshi Tabuse",1992
163,9202085," C. Callan, A. Felce, and D. Freed",1992
164,9202086, E. Sezgin,1992
165,9202087, R. Saroja and A. Sen,1992
166,9202089," E. Abdalla, M.C.B. Abdalla, D. Dalmazi, K. Harada",1992
167,9202090, By Matt Visser,1992
168,9202092, Paul Ginsparg and Fernando Quevedo,1992
169,9203001, Jack Morse & Rolf Schimmrigk,1992
170,9203002, Yoshiaki Tanii and Shun-ichi Yamaguchi,1992
171,9203003," F. Colomo, A. Koubek, G. Mussardo",1992
172,9203004," A.N. Kirillov, P. Mathieu, D. Senechal and M. Walton",1992
173,9203005, K.N. Anagnostopoulos and M. J. Bowick,1992
174,9203006," Kiyoshi Kamimura, Sinobu Makita and Takeshi Fukuyama",1992
