,Paper Id,Authors,Year
0,9201001,C. Itzykson,1992
1,9201001,J.-B. Zuber,1992
2,9201002,F.Bonechi,1992
3,9201002,E.Celeghini,1992
4,9201002,R.Giachetti,1992
5,9201002,E.Sorace,1992
6,9201002,M.Tarlini,1992
7,9201003,Robbert Dijkgraaf,1992
8,9201004,Nathan Berkovits,1992
9,9201005,Igor R. Klebanov,1992
10,9201006,Denis Bernard,1992
11,9201007,Mirjam Cvetic,1992
12,9201007,Stephen Griffies,1992
13,9201007,Soo-Jong Rey,1992
14,9201008,Satoshi Matsuda,1992
15,9201009,Eva Silverstein,1992
16,9201010,A.Marshakov,1992
17,9201010,A.Mironov,1992
18,9201010,A.Morozov,1992
19,9201011,A.Marshakov,1992
20,9201011,A.Mironov,1992
21,9201011,A.Morozov,1992
22,9201012,A.Mironov,1992
23,9201012,A.Zabrodin,1992
24,9201013,S.Kharchev,1992
25,9201013,A.Marshakov,1992
26,9201013,A.Mironov,1992
27,9201013,A.Morozov,1992
28,9201013,A.Zabrodin,1992
29,9201014,P. Berglund,1992
30,9201014,"T. H\""ubsch",1992
31,9201015,S. Kar,1992
32,9201015,S. Khastgir,1992
33,9201015,A. Kumar,1992
34,9201016,Leonardo Castellani,1992
35,9201017,Nathan Seiberg,1992
36,9201017,Stephen Shenker,1992
37,9201018,Waichi Ogura,1992
38,9201019,J. A. Dixon,1992
39,9201019,M. J. Duff,1992
40,9201019,,1992
41,9201019,E. Sezgin,1992
42,9201020,A.S. Galperin,1992
43,9201020,K.S. Stelle,1992
44,9201021,J. Russo,1992
45,9201021,A.A. Tseytlin,1992
46,9201022,Hiroki Fukutaka,1992
47,9201023,C.N. Pope,1992
48,9201024,H. Aratyn,1992
49,9201024,L.A. Ferreira,1992
50,9201024,J.F. Gomes,1992
51,9201024,A.H. Zimerman,1992
52,9201025,M.Forger,1992
53,9201025,J.Laartz,1992
54,9201025,U.Schaeper,1992
55,9201026,Jean-Loup Gervais,1992
56,9201026,,1992
57,9201026,Yutaka Matsuo,1992
58,9201027,J. M. Isidro,1992
59,9201027,J. M. F. Labastida,1992
60,9201027,A. V. Ramallo,1992
61,9201028,Terry Gannon,1992
62,9201028,C.S. Lam,1992
63,9201029,Renata Kallosh,1992
64,9201030,L.A. Ferreira,1992
65,9201030,J.F. Gomes,1992
66,9201030,R.M. Ricotta,1992
67,9201030,A.H. Zimerman,1992
68,9201031,M.~Ruiz--Altaba,1992
69,9201032,Marcio J. Martins,1992
70,9201033,L. Chekhov,1992
71,9201033,Yu. Makeenko,1992
72,9201034,Katsumi Itoh,1992
73,9201034,Nobuyoshi Ohta,1992
74,9201035,O. Babelon,1992
75,9201035,M. Talon,1992
76,9201036,Mordechai Spiegelglas,1992
77,9201036,Shimon Yankielowicz,1992
78,9201037,Joshua Feinberg,1992
79,9201038,L. Feher,1992
80,9201038,L. O'Raifeartaigh,1992
81,9201038,P. Ruelle,1992
82,9201038,I. Tsutsui,1992
83,9201039,14p,1992
84,9201040,Taichiro Kugo,1992
85,9201040,Barton Zwiebach,1992
86,9201041,Ashoke Sen,1992
87,9201042,Alberto Carlini,1992
88,9201042,Maurizio Martellini,1992
89,9201043,Alberto Carlini,1992
90,9201043,Maurizio Martellini,1992
91,9201044,M.A.R. Osorio,1992
92,9201044,M.A. Vazquez-Mozo,1992
93,9201045,Ramzi R. Khuri,1992
94,9201045,HoSeong La,1992
95,9201046,Ramzi R. Khuri,1992
96,9201046,HoSeong La,1992
97,9201047,18 pages,1992
98,9201048,A.P.Balach,1992
99,9201048,ran,1992
100,9201048,G.Bimonte,1992
101,9201048,K.S.Gupta,1992
102,9201048,A.Stern,1992
103,9201049,Eric Smith,1992
104,9201050,H. Lu,1992
105,9201050,C.N. Pope,1992
106,9201050,S. Schrans,1992
107,9201050,K.W. Xu,1992
108,9201051,M. Bordemann,1992
109,9201051,M. Forger,1992
110,9201051,J. Laartz,1992
111,9201051,U. Schaeper,1992
112,9201052,J. Maharana,1992
113,9201052,S. mukherji,1992
114,9201053,S.P. de Alwis,1992
115,9201054,Michael B. Green,1992
116,9201055,C. Itzykson,1992
117,9201055,J.-B. Zuber,1992
118,9201056,Edward Witten,1992
119,9201056,Barton Zwiebach,1992
120,9201057,C. M. Hull,1992
121,9201058,R.Efraty,1992
122,9201058,V.P.Nair,1992
123,9201059,Sidney Coleman,1992
124,9201059,John Preskill,1992
125,9201059,,1992
126,9201059,Frank Wilczek,1992
127,9201060,J.M. Lina,1992
128,9201060,P.K. Panigrahi,1992
129,9201061,T.Banks,1992
130,9201061,A. Dabolkhar,1992
131,9201061,M.R. Douglas,1992
132,9201061,M. O' Loughlin,1992
133,9201062,G. Bimonte,1992
134,9201062,P. Salomonson,1992
135,9201062,A. Simoni,1992
136,9201062,A. Stern,1992
137,9201063,Marc Kamionkowski,1992
138,9201063,John March-Russell,1992
139,9201064,J.L.F. Barb\'on,1992
140,9201065,Yoichiro Matsumura,1992
141,9201065,Norisuke Sakai,1992
142,9201065,Yoshiaki Tanii,1992
143,9201066,Yoichiro Matsumura,1992
144,9201066,Norisuke Sakai,1992
145,9201066,Yoshiaki Tanii,1992
146,9201067,G. W. Delius,1992
147,9201067,M.T. Grisaru,1992
148,9201067,D. Zanon,1992
149,9201068,M. Martellini,1992
150,9201068,M. Spreafico,1992
151,9201068,K. Yoshida,1992
152,9201069,M. Martellini,1992
153,9201069,M. Spreafico,1992
154,9201069,K. Yoshida,1992
155,9201070,E.Nissimov,1992
156,9201070,S.Pacheva,1992
157,9201070,I.Vaysburd,1992
158,9201071,N. Chair,1992
159,9201071,V.K. Dobrev,1992
160,9201071,H. Kanno,1992
161,9201072,Shamit Kachru,1992
162,9201073,Alex Lyons,1992
163,9201074,J. Russo,1992
164,9201074,L. Susskind,1992
165,9201074,L. Thorlacius,1992
166,9201075,K.Amano,1992
167,9201075,S.Higuchi,1992
168,9201076,Mark Doyle,1992
169,9201077,Vl.S.Dotsenko,1992
170,9201078,Philip C. Argyres,1992
171,9201078,Keith R. Dienes,1992
172,9201078,,1992
173,9201078,S.-H. Henry Tye,1992
174,9201079,M. Bauer,1992
175,9201079,N. Sochen,1992
176,9201080,P. Furlan,1992
177,9201080,A. Ch. Ganchev,1992
178,9201080,R. Paunov,1992
179,9201080,V. B. Petkova,1992
180,9202001,N. Read,1992
181,9202001,G. Moore,1992
182,9202002,Stephen-wei Chung,1992
183,9202002,S.-H. Henry Tye,1992
184,9202003,Marc Kamionkowski,1992
185,9202003,John March-Russell,1992
186,9202004,S.B. Giddings,1992
187,9202004,A. Strominger,1992
188,9202005,David Gershon,1992
189,9202006,L. Chekhov,1992
190,9202006,Yu. Makeenko,1992
191,9202007,Philip C. Argyres,1992
192,9202007,James M. Grochocinski,1992
193,9202007,,1992
194,9202007,S.-H. Henry Tye,1992
195,9202008,Petr Horava,1992
196,9202009,Y. Imamura,1992
197,9202009,M. Sakamoto,1992
198,9202009,T. Sasada,1992
199,9202009,M. Tabuse,1992
200,9202010,G. Nagao,1992
201,9202011,P. Fendley,1992
202,9202011,K. Intriligator,1992
203,9202012,Satoshi Iso,1992
204,9202012,Dimitra Karabali,1992
205,9202012,B. Sakita,1992
206,9202013,V.Spiridonov,1992
207,9202014,C.F.E. Holzhey,1992
208,9202014,F. Wilczek,1992
209,9202015,Barton Zwiebach,1992
210,9202016,Noah Linden,1992
211,9202016,Malcolm Perry,1992
212,9202017,Sheldon Katz,1992
213,9202018,Bernd Bruegmann,1992
214,9202018,Rodolfo Gambini,1992
215,9202018,Jorge Pullin,1992
216,9202019,Shahar Ben-Menahem,1992
217,9202020,F.Ravanini,1992
218,9202021,Erik Verlinde,1992
219,9202022,Lee Smolin,1992
220,9202023,Richard H. Price,1992
221,9202023,Jorge Pullin,1992
222,9202024,Christopher Ting,1992
223,9202024,C. H. Lai,1992
224,9202025,J.W. van Holten,1992
225,9202026,G. Ferretti,1992
226,9202026,S.G. Rajeev,1992
227,9202027,G. Nagao,1992
228,9202028,Changrim Ahn,1992
229,9202029,Alex,1992
230,9202029,er Balatsky \\  In this paper we present a theory of Singlet Quantum Hall Effect . Weshow that the Halperin-Haldane SQHE wave function can be written in the form ofa product of a wave function for charged semions in a magnetic field,1992
231,9202029,a wavefunction for the Chiral Spin Liquid of neutral spin-$\12$ semions. We introducefield-theoretic model in which the electron operators are factorized in termsof charged spinless semions,1992
232,9202029,neutral spin-$\12$ semions .Broken time reversal symmetry,1992
233,9202029,short ranged spin correlations lead to$SU_{k=1}$ Chern-Simons term in L,1992
234,9202029,au-Ginzburg action for SQHE phase. Weconstruct appropriate coherent states for SQHE phase,1992
235,9202029,"show the existence of$SU$ valued gauge potential. This potential appears as a result of ``spinrigidity"" of the ground state against any displacements of nodes of wavefunction from positions of the particles",1992
236,9202029,reflects the nontrivial monodromyin the presence of these displacements.\\,1992
237,9202030,L.F. Cugli,1992
238,9202030,olo,1992
239,9202030,G.L. Rossini,1992
240,9202030,F.A. Schaposnik,1992
241,9202031,S. Mignemi & D.L. Wiltshire,1992
242,9202032,Hidetoshi Awata,1992
243,9202033,G. Papadopoulos,1992
244,9202033,B. Spence,1992
245,9202034,Timothy R. Klassen,1992
246,9202034,Ezer Melzer,1992
247,9202035,Adel Bilal,1992
248,9202036,P.S. Howe,1992
249,9202036,G. Papadopoulos,1992
250,9202037,Dieter R. Brill,1992
251,9202038,L. F. Cugli,1992
252,9202038,olo,1992
253,9202038,F. A. Schaposnik,1992
254,9202038,H. Vucetich,1992
255,9202039,Maximilian Kreuzer,1992
256,9202039,Harald Skarke,1992
257,9202040,Jose M. Figueroa-O'Farrill,1992
258,9202040,Eduardo Ramos,1992
259,9202041,Michael Lassig,1992
260,9202042,Marcio J.Martins,1992
261,9202043,H.O. Girotti,1992
262,9202043,M. Gomes,1992
263,9202043,V.O. Rivelles,1992
264,9202045,Amitabha Lahiri,1992
265,9202046,Luis E. Ibanez,1992
266,9202046,Dieter Luest,1992
267,9202047,Daniel Altschuler,1992
268,9202047,Antoine Coste,1992
269,9202048,Alex,1992
270,9202048,er Moroz,1992
271,9202049,I.Ya.Aref'eva,1992
272,9202049,A.P.Zubarev\\  String field theory for the non-critical NSR string is described. Inparticular it gives string field theory for the 2D super-gravity coupled to a$\hat{c}=1$ matter field. For this purpose double-step pictures changingoperators for the non-critical NSR string are constructed. Analogues of thecritical supersymmetry transformations are written for $D<10$,1992
273,9202049,they form aclosed on-shell algebra,1992
274,9202049,however their action on vertices is defined only fordiscrete value of the Liouville momentum. For D=2 this means that spinormassless field has its superpartner in the NS sector only if its momentum isfixed.  Starting from string field theory we calculate string amplitudes. Theseamplitudes for D=2 have poles which are related with discrete set of primaryfields,1992
275,9202049,namely 2R$\to$2R amplitude has poles corresponding to the n-level NSexcitations with discrete momenta $p_1=n,1992
276,9202049,~~p_2=-1\pm $.\\,1992
277,9202050,J.D. Cohn,1992
278,9202050,H. Dykstra,1992
279,9202051,P.~Berglund,1992
280,9202051,B.R.~Greene,1992
281,9202051,"T.~H\""ubsch",1992
282,9202052,A.P.Balach,1992
283,9202052,ran,1992
284,9202052,W.D.McGlinn,1992
285,9202052,L.O'Raifeartaigh,1992
286,9202052,S.Sen,1992
287,9202052,R.D.Sorkin,1992
288,9202052,A.M.Srivastava,1992
289,9202053,Abhay Ashtekar,1992
290,9202053,C.J. Isham,1992
291,9202054,Abhay Ashtekar,1992
292,9202054,Carlo Rovelli,1992
293,9202054,Lee Smolin,1992
294,9202055,A. Mikovic,1992
295,9202056,D.B. Fairlie,1992
296,9202056,J. Govaerts,1992
297,9202057,Alexios P. Polychronakos,1992
298,9202058,Katsushi Ito,1992
299,9202058,Jens Ole Madsen,1992
300,9202059,Mary K. Gaillard,1992
301,9202059,T.R. Taylor,1992
302,9202060,H. Lu,1992
303,9202060,C.N. Pope,1992
304,9202060,S. Schrans,1992
305,9202060,X.J. Wang,1992
306,9202061,P. Bowcock,1992
307,9202062,Michael Wolf,1992
308,9202062,Barton Zwiebach,1992
309,9202063,Abhay Ashtekar,1992
310,9202063,Carlo Rovelli,1992
311,9202064,F. A. Schaposnik,1992
312,9202065,Jean Avan,1992
313,9202065,Antal Jevicki,1992
314,9202066,V.G.J. Rodgers,1992
315,9202067,Mirjam Cvetic,1992
316,9202068,R.B. Mann,1992
317,9202068,M.S. Morris,1992
318,9202068,S.F. Ross,1992
319,9202069,G.W. Delius,1992
320,9202069,M.T. Grisaru,1992
321,9202069,D. Zanon,1992
322,9202070,H. G. Kausch,1992
323,9202070,G. M. T. Watts,1992
324,9202071,Giorgio Immirzi,1992
325,9202072,X. Shen,1992
326,9202073,Peter G. O. Freund,1992
327,9202073,Anton V. Zabrodin,1992
328,9202074,D. Boulatov,1992
329,9202075,Mark Alford,1992
330,9202075,Andrew Strominger,1992
331,9202076,Lee Smolin,1992
332,9202077,B. S. Balakrishna,1992
333,9202077,Kameshwar C. Wali,1992
334,9202078,Zhu Yang,1992
335,9202079,Abhay Ashtekar,1992
336,9202079,Carlo Rovelli,1992
337,9202079,Lee Smolin,1992
338,9202080,Yukihisa Itoh,1992
339,9202080,Yoshiaki Tanii,1992
