Paper Id,Author Id
9112005,['1']
9112014,"['2', '34', '30', '33']"
9109003,['3']
9108020,"['4', '5']"
9112074,"['6', '7', '11', '12']"
9112073,"['8', '9', '15']"
9112075,"['1', '0']"
9109046,"['1', '3', '44', '45', '108']"
9112072,"['1', '4']"
9111056,"['1', '6', '107', '4', '119']"
9112065,"['1', '7', '66', '90']"
9111027,"['1', '8', '64', '65']"
9110034,"['1', '9', '20']"
9110038,"['2', '1', '54']"
9110043,"['2', '2']"
9110044,"['2', '3']"
9110045,"['2', '4']"
9110050,"['2', '5', '26']"
9110057,"['2', '7', '28']"
9110058,"['2', '9']"
9111002,"['2', '30', '33', '34']"
9108004,"['3', '1']"
9108002,"['3', '2']"
9111003,"['3', '5']"
9112010,"['3', '6', '91', '92']"
9111018,"['3', '7', '38', '53', '55']"
9109019,"['3', '9', '51']"
9111024,"['4', '0']"
9110015,"['4', '1', '42', '43', '30']"
9109051,"['4', '6', '68']"
9109048,"['4', '7', '52']"
9109045,"['4', '8', '49']"
9109038,"['2', '1', '50']"
9109007,"['5', '6']"
9108026,"['2', '3']"
9109054,"['5', '7', '12', '58']"
9108011,"['2', '1']"
9110001,"['5', '9', '60', '69']"
9110003,"['6', '1', '62', '63']"
9111030,"['6', '7']"
9112004,"['5', '2']"
9108006,"['7', '0', '14']"
9112017,"['7', '1', '72']"
9112020,"['7', '3', '74', '75']"
9112033,"['7', '6', '77', '78', '79']"
9112036,"['8', '0', '81', '82']"
9112043,"['8', '3', '84']"
9112045,"['8', '5']"
9112055,"['8', '6']"
9111038,"['8', '7', '88', '101']"
9112062,"['8', '9', '102', '93']"
9111048,"['2', '0', '115', '118']"
9111031,"['9', '3', '94', '95']"
9111035,"['9', '6', '97', '98']"
9111036,"['9', '9', '100']"
9111049,"['1', '0', '3', '104']"
9111054,"['1', '0', '5', '42', '106']"
9109053,"['1', '0', '9', '122', '123']"
9110037,"['1', '1', '0']"
9110005,"['1', '1', '1', '114']"
9112048,"['1', '1', '2']"
9108023,"['1', '1', '3', '120', '121']"
9110008,"['1', '1', '6']"
9111064,"['1', '1', '7']"
9110009,"['1', '2', '4', '125', '126']"
9109027,"['9', '3', '94', '95']"
9109035,"['1', '2', '7', '132']"
9109040,"['1', '2', '8', '129', '130']"
9109006,"['1', '3', '1']"
9201025,"['1', '3', '3', '148', '150']"
9201028,"['1', '3', '4', '140']"
9201026,"['1', '3', '5', '136']"
9201027,"['1', '3', '7', '138', '139']"
9201080,"['1', '4', '1', '144', '221', '317']"
9201030,"['1', '4', '2', '143', '162', '163']"
9202060,"['1', '4', '5', '153', '165', '2']"
9203003,"['1', '4', '6', '358', '515']"
9202001,"['1', '4', '7', '363']"
9201029,"['1', '4', '9']"
9201038,"['1', '5', '1', '154', '155', '160']"
9201024,"['1', '4', '3', '166', '142', '162']"
9201037,"['1', '5', '2']"
9201039,"['1', '5', '6']"
9201040,"['1', '5', '7', '158']"
9201041,"['2', '1']"
9201042,"['1', '5', '9', '208']"
9201031,"['1', '6', '1']"
9201022,"['1', '6', '4']"
9201023,"['1', '6', '5']"
9202061,"['1', '6', '7']"
9202058,"['1', '6', '8', '180']"
9202062,"['1', '5', '8', '185']"
9202052,"['1', '6', '9', '170', '171', '184', '186', '187', '201']"
9202053,"['1', '7', '2', '174']"
9202059,"['1', '7', '3', '200']"
9202054,"['1', '7', '5', '176', '172']"
9202055,"['3', '2']"
9202056,"['1', '7', '7', '178']"
9202057,"['1', '7', '9']"
9202051,"['1', '8', '1', '344', '361']"
9202070,"['1', '8', '2', '199']"
9201032,"['1', '8', '3']"
9202063,"['1', '7', '2', '175']"
9202064,"['1', '8', '8']"
9202065,"['1', '8', '9', '198']"
9202066,"['1', '9', '0']"
9202067,"['1', '9', '1']"
9202068,"['1', '9', '2', '193', '194']"
9202069,"['1', '9', '5', '196', '197']"
9201036,"['3', '6', '229']"
9201070,"['2', '0', '2', '216', '555']"
9201035,"['2', '0', '3', '99']"
9201068,"['1', '2', '204', '205']"
9207117,"['2', '0', '6', '927']"
9201069,"['1', '2', '204', '205']"
9201067,"['2', '0', '7', '197', '196']"
9201043,"['2', '0', '8', '159']"
9201012,"['2', '0', '9', '212']"
9201013,"['2', '1', '0', '211', '212', '213', '209']"
9201014,"['2', '1', '4', '215']"
9201078,"['2', '1', '7', '218', '368']"
9201079,"['2', '1', '9', '220']"
9201075,"['2', '2', '2', '393']"
9201062,"['2', '2', '3', '547', '548', '562']"
9202072,"['2', '2', '4']"
9201063,"['2', '2', '5', '226']"
9201064,"['2', '2', '7']"
9201065,"['2', '2', '8', '103', '104']"
9201066,"['2', '2', '8', '103', '104']"
9201015,"['2', '3', '0', '244', '251']"
9201007,"['1', '9', '1', '231', '232']"
9201008,"['2', '3', '3']"
9201009,"['2', '3', '4']"
9201010,"['2', '1', '1', '212', '213']"
9201006,"['2', '3', '5']"
9201020,"['2', '3', '6', '252']"
9201021,"['2', '3', '7', '238']"
9201033,"['2', '3', '9', '240']"
9201034,"['2', '4', '1', '242']"
9201005,"['2', '4', '3']"
9201011,"['2', '1', '2', '213', '211']"
9201003,"['2', '4', '5']"
9201016,"['2', '4', '6']"
9201017,"['1', '3', '0', '247']"
9201018,"['2', '4', '8']"
9201019,"['2', '4', '9', '250', '42']"
9201001,"['2', '5', '3', '518']"
9201002,"['2', '5', '4', '255', '256', '257', '258']"
9201004,"['2', '5', '9']"
9202085,"['1', '1', '9', '260', '329']"
9202006,"['2', '3', '9', '240']"
9202038,"['1', '8', '8', '261', '277', '268']"
9202026,"['2', '6', '2', '281']"
9202027,"['2', '6', '3']"
9202028,"['2', '6', '4']"
9202029,"['2', '6', '5', '266']"
9202030,"['2', '6', '7', '268', '269', '270']"
9202031,"['2', '7', '1']"
9202032,"['2', '7', '2']"
9202033,"['2', '7', '3', '274']"
9202034,"['2', '7', '5', '276']"
9202035,"['2', '7', '8']"
9202046,"['2', '7', '9', '122']"
9202049,"['2', '8', '0', '295']"
9202039,"['2', '8', '2', '290']"
9202040,"['2', '8', '3', '284']"
9202041,"['2', '8', '5']"
9202042,"['2', '8', '6']"
9202043,"['2', '8', '7', '288', '289']"
9202045,"['2', '9', '1']"
9202047,"['2', '9', '2', '293']"
9202048,"['2', '6', '5', '294']"
9202050,"['2', '9', '6', '374']"
9202025,"['2', '9', '7']"
9202036,"['2', '9', '8', '273']"
9202037,"['2', '9', '9']"
9207006,"['3', '2']"
9207003,"['3', '0', '0', '326', '327']"
9207007,"['3', '0', '1', '897']"
