,Paper Id,Author Id,Authors,Year,Topic Words
0,0305209,12482,A. A. Belavin,2004.0,"{'ising': 0.15358789349912297, 'boundary': 0.1177955557838735, 'chain': 0.07911330192950154, 'xxz': 0.07445808906820567, 'quantum': 0.05176948526788735, 'transfer': 0.0374230459918106, 'hamiltonian': 0.0344909386675739, 'algebra': 0.03204344058817274, 'matrices': 0.022350130940199175, 'models': 0.0215532473818717, 'sin': 0.02029928847505276, 'hxxz': 0.020131701841415515, 'spins': 0.01997181870956998, 'conguration': 0.017563903641373176, 'reduction': 0.017528170352427513, 'mixed': 0.01577906040104493, 'site': 0.01577710324117644, 'eigenenergies': 0.01437361828413184, 'dierent': 0.014289234253557341, 'representations': 0.014289234253557341, 'case': 0.013513810158878384, 'representation': 0.01190460392544078, 'temperleylieb': 0.01190460392544078, 'integrable': 0.010721385725000998, 'sectors': 0.010714804309460198, 'xed': 0.010065840563514221, 'terms': 0.00961519992610571, 'highest': 0.009388480431058202, 'levels': 0.009388480431058202, 'corresponds': 0.008937461902441638, 'sites': 0.008931974917776014, 'bound': 0.008105933408300518, 'hamiltonians': 0.007940806984653784, 'table': 0.007940806984653784, 'inhomogeneous': 0.007826337215716026, 'cos': 0.00719398853145772, 'eigenvalues': 0.007149145526091829, 'row': 0.006487982704856659, 'paths': 0.006487982704856659, 'ary': 0.00639714705683865, 'parameter': 0.00639714705683865}"
1,0511143,8267,A. A. Bytsenko,2005.0,"{'string': 0.07674275597508279, 'energy': 0.051211676448011556, 'branch': 0.024958300796469365, 'method': 0.024550162191217882, 'rst': 0.02190910799852995, 'brevik': 0.02187002482862191, 'casimir': 0.021822181253881315, 'uniform': 0.0188305560093203, 'bytsenko': 0.012893746700455039, 'relativistic': 0.011118048906448436, 'piecewise': 0.010361041446909212, 'point': 0.009797248518630744, 'sinh': 0.009712144204724292, 'rev': 0.009712144204724292, 'length': 0.009536022246055318, 'sin': 0.008801642460597232, 'integration': 0.008754567785491121, 'ratio': 0.008478926569191324, 'temperature': 0.008292124384625281, 'free': 0.008088608021520977, 'lii': 0.007371799612392503, 'odd': 0.007287139650495748, 'type': 0.007115836098205382, 'tii': 0.006994920949872426, 'regularization': 0.005931836775471246, 'condition': 0.005655754252614491, 'composite': 0.005565988364661849, 'integer': 0.005565988364661849, 'contour': 0.005442219391190523, 'calculated': 0.00490270287243182, 'arbitrary': 0.0048621350962672035, 'oscillations': 0.0048621350962672035, 'pieces': 0.004665868394585383, 'calculate': 0.00388951783250862, 'eigenvalue': 0.00388951783250862, 'number': 0.003690501553684146, 'expression': 0.003271187824421701, 'result': 0.003271187824421701, 'representation': 0.003271187824421701, 'fock': 0.0031839675840204247}"
2,0512278,11976,A. A. Saharian,2006.0,"{'function': 0.05989315875277979, 'functions': 0.04058724276202125, 'formula': 0.03594092977959974, 'bessel': 0.021335570632909095, 'integral': 0.020017551958048663, 'form': 0.019874368551473447, 'case': 0.016275468686100143, 'formulae': 0.016272293665445525, 'vacuum': 0.014856383681173774, 'poles': 0.014655618947163744, 'conditions': 0.01383778278646192, 'integrals': 0.013043127735323234, 'emt': 0.01287935369667996, 'imaginary': 0.012401714723777013, 'half': 0.01201428285845796, 'energy': 0.01191364336035887, 'cylindrical': 0.011391826015484503, 'series': 0.010464553429330501, 'spherical': 0.010441089386849043, 'plane': 0.009746465078949718, 'components': 0.009624220789847447, 'conducting': 0.009624220789847447, 'cuto': 0.009111593481864189, 'values': 0.008663925938692918, 'casimir': 0.008663925938692918, 'sum': 0.008550806885009829, 'xei': 0.00854488622386763, 'shell': 0.008143819371092488, 'summation': 0.008137239112236502, 'asymptotic': 0.00794223279228945}"
3,0509084,52,A. A. Tseytlin,2005.0,"{'duality': 0.04670800641585944, 'solution': 0.04482557114330261, 'time': 0.044696102177915004, 'matter': 0.04308451099412588, 'action': 0.03333752854433266, 'case': 0.031129104663033147, 'equations': 0.030297341700732408, 'modes': 0.029556517891387343, 'decreasing': 0.024689659857271812, 'winding': 0.022894968752975205, 'large': 0.021594092747258653, 'eqs': 0.021429991739790197, 'string': 0.017654049270942274, 'dilaton': 0.017575901696798457, 'negative': 0.016404955572955182, 'solutions': 0.015098436960094427, 'classical': 0.014935937480203554, 'energy': 0.014691339562766123, 'radius': 0.013788188085978094, 'terms': 0.013642559280620956, 'expansion': 0.013538884780229528, 'constant': 0.01280402020696163, 'nucl': 0.012733799722003898, 'cosmological': 0.012733799722003898, 'potential': 0.012335012978215168, 'finite': 0.011284282994806577, 'fields': 0.011284282994806577, 'temperature': 0.010835685718975143, 'initial': 0.010776259881241673, 'positive': 0.010595958793546342}"
4,0502021,13809,A. Adams,2005.0,"{'string': 0.03641801310810891, 'orbifold': 0.029553972250177137, 'space': 0.019206388574406753, 'tachyon': 0.018517262650151793, 'zzn': 0.013372992713510497, 'case': 0.012876264810560357, 'hep': 0.01244752880901336, 'brane': 0.0117404588674156, 'quantum': 0.011084313464278607, 'ale': 0.0106142367377529, 'twisted': 0.01040781428105661, 'orbifolds': 0.010127251224475093, 'quiver': 0.009765693153126706, 'dual': 0.008845786949739289, 'tachyons': 0.008328333106294446, 'type': 0.008151093816644608, 'branes': 0.008151093816644608, 'large': 0.008025133380866611, 'decay': 0.007375548245113399, 'description': 0.007356650778308041, 'volume': 0.0067236473158025535, 'closed': 0.006511667211330982, 'open': 0.0063614551055351624, 'cone': 0.005869699913855782, 'geometry': 0.005783403857933559, 'spaces': 0.005494378455287868, 'group': 0.005426991897399073, 'small': 0.005349441298252983, 'curvature': 0.005146160304878326, 'probe': 0.004721412375988698, 'regime': 0.0045660465262500755, 'interesting': 0.004547014040364283, 'ads': 0.004409891164070785, 'duality': 0.004342316858438852, 'condensation': 0.004338275517774439, 'initial': 0.004240133179348649, 'time': 0.004091489090314544, 'scalar': 0.003679996712206683, 'direction': 0.003679996712206683, 'linear': 0.003675521296778189, 'tachyonic': 0.003411207246111491, 'potential': 0.003262392901404949}"
5,0304125,11825,A. Alonso Izquierdo,2004.0,"{'kink': 0.15336930642928503, 'curves': 0.13328292287562804, 'sin': 0.07938638108344456, 'solutions': 0.07834860785478595, 'real': 0.072251962705453, 'algebraic': 0.050170560320733255, 'kinks': 0.04956969846262653, 'curve': 0.04509656330179415, 'vacuum': 0.03896466057775175, 'susy': 0.038639166295674765, 'rst': 0.03362073774399136, 'superpotential': 0.025636528984887646, 'joining': 0.025529599199851122, 'extended': 0.023878409116585966, 'conserved': 0.020519456411310016, 'factor': 0.019981282823253163, 'potential': 0.017007590472798425, 'zumino': 0.015697045194099542, 'energies': 0.015697045194099542, 'orthogonal': 0.015086251461165783, 'dene': 0.014549289308306068, 'algebra': 0.014519835267665052, 'wess': 0.014519835267665052, 'group': 0.014519835267665052, 'majorana': 0.01278603890072677, 'systems': 0.011968978266720193, 'simili': 0.011968978266720193, 'live': 0.011724337650868583, 'arctan': 0.010218132692811929, 'rev': 0.010218132692811929, 'complex': 0.010074207855512609, 'equation': 0.010074207855512609, 'quantum': 0.009695969730234802}"
6,0404247,5864,A. Armoni,2004.0,"{'qcd': 0.04374375975402131, 'spectrum': 0.030201124283969344, 'adjoint': 0.029355130641490996, 'fermions': 0.027390678923832096, 'currents': 0.02574294840247083, 'avor': 0.023277894836420676, 'level': 0.02100646572103754, 'limit': 0.020012567607798456, 'number': 0.01980112907270689, 'models': 0.01977331929283989, 'equation': 0.01899439233053135, 'representation': 0.017508303687577376, 'multi': 0.01733175254257268, 'massless': 0.01590285359552296, 'wave': 0.015757570463481654, 'states': 0.015726395816112144, 'massive': 0.015137252906365362, 'state': 0.014801872976601366, 'mass': 0.012609203743544142, 'current': 0.012421214755946762, 'creation': 0.01164621636666037, 'expression': 0.010929468783038677, 'dimensions': 0.010511978837388478, 'quarks': 0.01019225787669005, 'fundamental': 0.009548067123290281, 'bosonization': 0.009319708143212077, 'includes': 0.009036687466716346, 'annihilation': 0.008762897820658396, 'general': 0.008744644332605972, 'ija': 0.007959370666078235, 'mesonic': 0.00790851170363954, 'wzw': 0.00728433796619448, 'approach': 0.006662701892523778, 'exact': 0.006662701892523778, 'lie': 0.0062371439042030455, 'color': 0.0062371439042030455, 'quantization': 0.0062371439042030455, 'hilbert': 0.005830378304002189, 'suppressed': 0.0058291805042855575, 'bosonized': 0.005652160177485931, 'fact': 0.005652160177485931, 'solve': 0.005332821202447721, 'calculation': 0.004665671663231265, 'work': 0.004558795217556979, 'colors': 0.004558795217556979, 'commutators': 0.004161555448436493, 'generalized': 0.003421938268095417}"
7,0603229,9592,A. B. Kaganovich,2006.0,"{'scalar': 0.03282175117032093, 'constraint': 0.024474439006900234, 'vacuum': 0.017502874262945098, 'einstein': 0.0167052854943062, 'connection': 0.013387187614271358, 'notice': 0.012410043553549212, 'lagrangian': 0.012272053549011563, 'equations': 0.01158822359285139, 'rst': 0.011269318035376367, 'frame': 0.010940211109555315, 'measure': 0.01010249502204094, 'strength': 0.010013444526152854, 'gravitational': 0.009568653188883076, 'condensate': 0.009092750902259706, 'mass': 0.008648595156285438, 'density': 0.008587878556130744, 'integration': 0.008206297319742241, 'ngve': 0.00781151611075543, 'solution': 0.007515381208496665, 'fermion': 0.007515381208496665, 'subsection': 0.006764594005833224, 'tuning': 0.006679075909909293, 'fermions': 0.006679075909909293, 'minimum': 0.005784445184127789, 'eqs': 0.005630415878097798, 'vef': 0.005558644479356971, 'original': 0.005463946792054433, 'contribution': 0.00535080965200065, 'picture': 0.005053772133228009, 'dened': 0.004880193843471418, 'matter': 0.004459750650077545, 'complex': 0.003754860791531849}"
8,0409027,4076,A. Barducci,2005.0,"{'model': 0.044597914441143735, 'phase': 0.032226498444779296, 'potential': 0.029534983690172156, 'temperature': 0.028785152333579353, 'limit': 0.023021627886627427, 'nite': 0.020041362461297174, 'mass': 0.01882436444806526, 'fig': 0.017600523376236275, 'diagram': 0.015716684610757627, 'pion': 0.015505240122185293, 'case': 0.01507135375615376, 'density': 0.013544922130081793, 'dimensions': 0.013089833704884861, 'neveu': 0.012471147425143075, 'eective': 0.011539863970742026, 'gross': 0.011332357647243219, 'behaviour': 0.011000702549521055, 'rst': 0.010932822647772705, 'large': 0.010480699145712369, 'broken': 0.009503239774968399, 'qcd': 0.009111696953230473, 'massive': 0.009060543423813475, 'transition': 0.00897996250453413, 'equation': 0.00880656858013501, 'discrete': 0.008771618763060346, 'continuous': 0.008351726496285683, 'chemical': 0.007899962530830362, 'fermion': 0.007120384298105895, 'constant': 0.0069855232659228605, 'propagator': 0.00689332756624822, 'energy': 0.006267230887603725, 'curves': 0.00609893798016542, 'plane': 0.006076488037538175, 'figure': 0.006076488037538175, 'breaking': 0.005988303646617225, 'small': 0.005641133628519909, 'free': 0.005489693836964408, 'format': 0.005469446139357431, 'png': 0.005371095913527385, 'range': 0.005265896829630896, 'condensate': 0.0047451226801806246, 'uctuations': 0.004492474217658773, 'parameter': 0.0035571545760491596, 'minimum': 0.0027675532574717443}"
9,0408136,12780,A. Bashir,2005.0,"{'fermion': 0.1100886891447119, 'gauge': 0.10442609635618745, 'perturbative': 0.09670175903871224, 'propagator': 0.0936924545075222, 'vertex': 0.06731849164840818, 'lkf': 0.05007736697147504, 'loop': 0.04469642790056182, 'expression': 0.04400392202241851, 'transformations': 0.038124601680975236, 'qed': 0.03795817988046643, 'values': 0.028581497929370373, 'quenched': 0.0260280085727628, 'regime': 0.023681990589564557, 'space': 0.02231502741837088, 'parameter': 0.020617699049752806, 'arbitrary': 0.020052353126381924, 'rev': 0.01906490653962917, 'landau': 0.01786200342500821, 'order': 0.01786200342500821, 'condition': 0.017723061018722862, 'expansion': 0.01733217944911474, 'result': 0.01718713403135529, 'term': 0.01681035510520551, 'transformation': 0.015892709409715437, 'coordinate': 0.01582868868563577, 'correct': 0.01582868868563577, 'function': 0.01572107621092353, 'low': 0.01572107621092353, 'terms': 0.014889061281459642, 'piece': 0.014774133011122188}"
