Author Id,Topic Words
1,"{'string': 0.09652447228585227, 'brane': 0.08996522469268262, 'theory': 0.0828334863614093, 'supersymmetry': 0.07504230041913171, 'action': 0.07384958328863975, 'gravity': 0.07292903904570625, 'constant': 0.07246492610664056, 'dimensional': 0.07108192156563282, 'klein': 0.07034028472926411, 'kaluza': 0.0681043293498157, 'model': 0.06289248717691442, 'eld': 0.06269626705402224, 'xed': 0.054396765407798586, 'type': 0.05362566055786222, 'bulk': 0.05161006977893012, 'branes': 0.051151687660308504, 'boundary': 0.04926000060799844, 'conformal': 0.04866697830891549, 'theorems': 0.046927845801360016, 'ads': 0.04510396420548321, 'supergravity': 0.043106575392968374, 'gauge': 0.0416621840318498, 'cosmological': 0.04078192185762941, 'conformally': 0.038940587833003804, 'operators': 0.03845842609763776, 'elds': 0.03783363485335593, 'axiom': 0.03708471434528876, 'breaking': 0.035373488748697404, 'point': 0.03434671378328859, 'eective': 0.034215915704484096}"
3,"{'fields': 0.07744539996852072, 'chiral': 0.045733575575505225, 'point': 0.04420982038627935, 'function': 0.04049199151347113, 'renormalization': 0.030899240407166746, 'field': 0.030178975010653333, 'susy': 0.022837918907627736, 'functions': 0.019346314693548194, 'metric': 0.017397460734872354, 'terms': 0.017375068708820364, 'order': 0.01621750196842725, 'result': 0.01552460082497304, 'nonchiral': 0.014996716034072991, 'lowest': 0.014088623425522973, 'form': 0.013771117695088495, 'theory': 0.012983599524865955, 'fixed': 0.012744804179971973, 'series': 0.012744804179971973, 'coordinate': 0.010987658018583, 'contact': 0.01026078469743635, 'integral': 0.009614981304630957, 'coordinates': 0.009572041950302725, 'charge': 0.009272105175154664, 'expansion': 0.00900703077178315, 'flow': 0.008991716512300046, 'components': 0.008774614959227357, 'coupling': 0.008774614959227357, 'derivatives': 0.008134820303123251, 'tensor': 0.008114539042942567, 'operator': 0.007214237259097273}"
10,"{'quantum': 0.033096638147438726, 'potential': 0.023459046118720774, 'potentials': 0.02060894875120063, 'algebra': 0.020382566061697374, 'energy': 0.01604718864902788, 'solvable': 0.0160307663517798, 'infinite': 0.016027179963010955, 'equation': 0.015953764694838612, 'number': 0.0157493215430662, 'spectrum': 0.015679337412171923, 'order': 0.015242342102495997, 'lett': 0.013159701391799396, 'chain': 0.012755195233066473, 'deformation': 0.012585354166190846, 'deformed': 0.012060467331279542, 'function': 0.012054515134285593, 'problem': 0.011200092506509163, 'superpotentials': 0.010491284717778437, 'harmonic': 0.0100537342570913, 'differential': 0.010026734933903325, 'space': 0.010026734933903325, 'states': 0.00949669700276621, 'oscillator': 0.009221267311537863, 'case': 0.009221267311537863, 'soliton': 0.008969207792941913, 'parameter': 0.008969207792941913, 'algebras': 0.008615281436609218, 'relation': 0.008509844719195248, 'finite': 0.008509844719195248, 'spiridonov': 0.008397216375471778}"
14,"{'theory': 0.13321210713137357, 'loop': 0.12090578355223601, 'boundary': 0.06733383293184472, 'model': 0.06731396765754181, 'wilson': 0.0636104058256066, 'ads': 0.05911000378375748, 'equation': 0.05274425792384175, 'brane': 0.05245968773395165, 'string': 0.04329183181158901, 'branes': 0.0424091457767356, 'gauge': 0.04187006254434072, 'function': 0.040376085311471265, 'dimensional': 0.038669697038919565, 'branch': 0.03712337885183439, 'surface': 0.03688374575104281, 'operator': 0.03681928293963684, 'dyson': 0.03616815051488102, 'schwinger': 0.035678739104424616, 'simplexes': 0.033399626597758886, 'lattice': 0.032585306315680816, 'dimensions': 0.03228292096364774, 'loops': 0.03177329873428383, 'hep': 0.030048589598304323, 'sum': 0.029257334020975096, 'minimum': 0.0292277967509941, 'simons': 0.0287034066384797, 'eld': 0.028504883659768943, 'vebrane': 0.028138810061210603, 'group': 0.02786028285700548, 'chern': 0.02756911224138281}"
22,"{'bravais': 0.09412688548146708, 'classes': 0.07877778786526689, 'materials': 0.06758138726294925, 'lattices': 0.064686130710642, 'space': 0.060332120173529326, 'fourier': 0.05984895285658769, 'group': 0.05154751899470611, 'vectors': 0.05057781499346591, 'point': 0.04826335713058365, 'quasiperiodic': 0.047575062889032634, 'periodic': 0.04491999275102543, 'wave': 0.03706414769926725, 'class': 0.03388443847728689, 'jjdw': 0.030031325558063097, 'cubic': 0.029566864139354467, 'dimensional': 0.027872207054200515, 'crystallography': 0.027677185376133617, 'periodicity': 0.025103106884245982, 'scheme': 0.020277184228812403, 'column': 0.020277184228812403, 'superspace': 0.020256584792088403, 'classification': 0.018332946621176998, 'crystal': 0.018332946621176998, 'identical': 0.01795918378412395, 'pairs': 0.01521421669491553, 'operations': 0.01521421669491553, 'symmetry': 0.013446882822721384, 'densities': 0.011954443304050544, 'ordinary': 0.01187543212708521, 'lattice': 0.01187543212708521}"
23,"{'model': 0.25472467157861967, 'sin': 0.14892034007188548, 'cos': 0.1487573998228735, 'term': 0.13144138262717703, 'theory': 0.12108805487725124, 'singularity': 0.09936295804428405, 'action': 0.09529506383912274, 'zumino': 0.09527554701445151, 'chiral': 0.09223800230583695, 'string': 0.08872951979180249, 'universe': 0.08793284796617562, 'gauge': 0.08601318722943348, 'solution': 0.07961136807428801, 'spacetime': 0.07493233558460505, 'wess': 0.07330344473868822, 'representation': 0.07127373790089359, 'ads': 0.06944336205128321, 'light': 0.06835562957808763, 'witten': 0.06706397858131874, 'form': 0.0669891457719515, 'coordinate': 0.06605547715577777, 'left': 0.06256005309247303, 'abelian': 0.06176303588551249, 'metric': 0.06000799936235647, 'lagrangean': 0.05995208718231437, 'hole': 0.059943274864450447, 'geometry': 0.05970154033207842, 'abc': 0.05922595092267385, 'xed': 0.058117450926707004, 'entropy': 0.056373102009087156}"
24,"{'exp': 0.17795621305573872, 'super': 0.12479119504393921, 'algebras': 0.07972232011551819, 'bsl': 0.07626222807356081, 'algebra': 0.07407208600212732, 'reduction': 0.06404426519971965, 'relations': 0.060581839329096686, 'currents': 0.05655889541953041, 'hamiltonian': 0.05537445529954349, 'osp': 0.05155786336311071, 'wakimoto': 0.04976876748750356, 'representation': 0.0486174240637732, 'realization': 0.04615603483125072, 'ane': 0.043778763862960084, 'boson': 0.03808667624954101, 'deformed': 0.03738912245215725, 'fields': 0.037361341454298036, 'free': 0.03528005913376101, 'kac': 0.032822770032158916, 'wzw': 0.032822770032158916, 'operators': 0.030369047523918082, 'theories': 0.02957059200498807, 'constraints': 0.028039510632108026, 'mzm': 0.028001046967048752, 'moody': 0.027874382059732188, 'quantum': 0.0272784252004046, 'functions': 0.025620364200221596, 'models': 0.025238361443886057, 'construction': 0.024939913718797377, 'deformation': 0.024891207947853804}"
29,"{'boundary': 0.19644274304001924, 'hep': 0.10579591271337341, 'eld': 0.09740511287327495, 'quantum': 0.09145006963868807, 'theory': 0.08513934066378862, 'theories': 0.08017223794715499, 'matrix': 0.05220827793278175, 'integrable': 0.04820064088843649, 'dorey': 0.03862935285767041, 'nucl': 0.037623089705828824, 'root': 0.03644582889939561, 'toda': 0.03355762589724958, 'states': 0.0326020292883305, 'blocks': 0.03168001041825437, 'ane': 0.030592685825328193, 'roots': 0.030124381407731507, 'simple': 0.029903369739391648, 'simply': 0.027323230698347967, 'laced': 0.027168671731849336, 'model': 0.024080932175373396, 'classical': 0.023300452249097513, 'reection': 0.023030058431598444, 'coupling': 0.022844061262266988, 'lectures': 0.02278139108102354, 'half': 0.02278139108102354, 'watts': 0.022665045121538482, 'partition': 0.022640350423961543, 'conditions': 0.021297404505377093, 'conformal': 0.019744744512100558, 'pole': 0.0194017169750052}"
31,"{'theory': 0.24234069875367412, 'supersymmetry': 0.17573275700579083, 'constant': 0.16926616362000846, 'boundary': 0.15223037766972594, 'dimensions': 0.15178992049936985, 'cosmological': 0.14185835843005956, 'dimensional': 0.13578476057904976, 'unbroken': 0.13221759905880398, 'vanishing': 0.12427911529416047, 'eld': 0.11867876872078761, 'string': 0.11145089474463975, 'space': 0.09645124897293433, 'gauge': 0.09239412760764171, 'sitter': 0.09226539615869528, 'black': 0.07978762377053487, 'brane': 0.07608503278987722, 'theories': 0.07597589460018368, 'fermi': 0.07565207266369567, 'suitable': 0.07537247866498142, 'calabi': 0.07425447502863732, 'supergravity': 0.072680617627774, 'function': 0.06963595963578546, 'limit': 0.06656008082870767, 'xed': 0.06277634087755901, 'branch': 0.06246173856646697, 'supercharges': 0.062122724484842407, 'spinor': 0.06212272368189764, 'heterotic': 0.05939327182747365, 'type': 0.05922506191855347, 'form': 0.0573256908332658}"
32,"{'spin': 0.11837589904401233, 'action': 0.11270331046113188, 'quantum': 0.0791297465954659, 'gauge': 0.07859466933141011, 'case': 0.07810059785480575, 'order': 0.07115628655134011, 'form': 0.0551824508103978, 'metric': 0.05485692979688952, 'irreps': 0.054609798402221896, 'theory': 0.05281237232123007, 'canonical': 0.052237368987030304, 'foam': 0.051910550439854826, 'fields': 0.051447471916066516, 'net': 0.05125168562936854, 'gravity': 0.0499942324603366, 'hamiltonian': 0.04849197151819251, 'matter': 0.04721103732240509, 'invariant': 0.047010465188910174, 'black': 0.04178338168211744, 'modes': 0.03883237277622753, 'variables': 0.036946833455130855, 'states': 0.03684952601523851, 'space': 0.034818932112375744, 'algebra': 0.03427752502631746, 'dilaton': 0.03212554342412481, 'amplitude': 0.03178129912369636, 'physical': 0.03090139689716355, 'chiral': 0.027903028614445373, 'compact': 0.02751510215002545, 'eld': 0.027381402346240258}"
